rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
35,"spotify:track:6Z36wt7oo6xm2uGN00PnTq","John Carpenter, Cody Carpenter, Daniel Davies","Halloween Theme","Sacred Bones Records",35,75,18
36,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",1,26,61
37,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",7,28,12
38,"spotify:track:2QN9zL3SzXdGqqmXO68gFp","Rockwell","Somebody's Watching Me - Single Version","UNI/MOTOWN",29,88,21
39,"spotify:track:3sLhMSePzxSrmxluIqeoAZ","Screamin' Jay Hawkins","I Put a Spell On You","Epic/Legacy",34,74,56
40,"spotify:track:3dANqzstXrnHIUh1r7JrGZ","Ecko Show, Juan Reza, Chesylino","Orang Baru Lebe Gacor","Ecko Show",34,34,11
41,"spotify:track:554qQSs9lpRVq6TlaaiIKT","EsDeeKid","4 Raws","Lizzy Records",19,32,40
42,"spotify:track:0gs6G0qcP6yXVBntg8PC3L","Jack Lenz","Goosebumps Original Theme Song","Enjoy the Toons Records",42,-1,9
43,"spotify:track:473DqaeIno75pBbp0bNrkT","Matheus Vargas, Cleber & Cauan","Desocupa","MV Produções Artisticas",4,30,20
44,"spotify:track:7uJUDd92ZfawO5clVSY0dq","Kid Cudi","Maui Wowie","Wicked Awesome/Kid Cudi",21,33,33
